 REGION , DISTRICT , Somme de POPULATION2 , (F) Nombre Commune exposées , (F)  Nombres Fokontany Exposé , (F)  Population exposée , (F)  Population affectées , (F)  HEA (Group socio Très pauvre - Sinistrées) , (F) Déplacées en site , (F) Déplacées en site préventivement , (M)  Nombre Commune exposées , (M)  Nombres Fokontany Exposé , (M)  Population exposée , (M)  Population affectées , (M)  HEA (Group socio Très pauvre - Sinistrées) , (M) Déplacées en site , (M) Déplacées en site préventivement , (E)  Nombre Commune exposées , (E) Nombres Fokontany Exposé , (E) Population exposée , (E) Population affectées , (E) HEA (Group socio Très pauvre - Sinistrées) , (E) Déplacées en site , (E) Déplacées en site préventivement , FAIBLE ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles, MODERE ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles, FORT ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles
, MITSINJO ,"95,700",3,7,"31,206","2,253",563,192,38,4,11,"37,201","5,261","1,674",569,114,6,25,"52,575","19,470","5,841","1,986",397, F , FTT , FTT ELOISE (17 au 23 Janv 21) , 2020-2021 , 63 à 88 km/h ,,737,277,287,79,28,49,25,54,25,55,737,3,5,4,0,1,1,,,,, M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"1,720",822,852,234,84,146,74,160,75,163,"1,720",9,10,6,1,1,1,,,,, F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"6,367","2,868","2,973",818,292,509,257,558,263,570,"6,367",18,20,11,2,3,1,,,,
, SOALALA ,"47,401",2,6,"12,525","1,038",260,88,18,2,6,"12,525","1,098",349,119,24,4,14,"21,496","5,936","1,781",606,121, F , FTT , FTT ELOISE (17 au 23 Janv 21) , 2020-2021 , 63 à 88 km/h ,,339,127,132,36,13,23,11,24,11,24,339,3,4,4,0,1,1,,,,, M , FTT , BELNA (06 au 11 Décembre 2019) , 2019-2020 , 118 à 165 km/h ,,359,172,178,49,17,30,15,32,15,33,359,9,9,6,1,1,1,,,,, F , FTT , IDAI , 2018-2019 , 166 à 212 km/h ,,"1,941",874,906,249,89,155,78,162,77,166,"1,941",18,19,11,2,3,2,,,,
 Total BOENY ,6,"1,056,774",24,71,"303,017","40,662","10,166","2,305",461,30,124,"438,101","97,340","30,983","7,025","1,405",39,195,"554,678","214,806","64,442","14,610","2,922", F , CT , AVA , 2017-2018 , 89 à 117 km/h , -   ,"13,297","4,991","5,174","1,423",508,887,447,994,469,"1,017","13,297",14,19,17,3,4,4,"26,146","22,689","8,620","28,992", M , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"31,830","15,213","15,771","4,338","1,549","2,702","1,363","3,093","1,459","3,164","31,830",38,41,26,8,9,6,"62,590","54,316","20,636","69,404", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"70,241","31,641","32,801","9,022","3,222","5,620","2,835","6,397","3,017","6,543","70,241",76,82,46,16,18,10,"138,120","119,862","45,539","153,156"
 DIANA , AMBANJA ,"272,326",22,70,"100,448","16,417","5,225","1,824",365,24,107,"170,264","39,831","12,678","4,425",885,24,165,"256,327","89,415","26,824","9,363","1,873", F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"5,106","2,545","2,681",716,261,479,251,242,312,940,"5,106",2,3,2,5,10,5,,,,, M , CT , ENAWO , 2016-2017 , 63 à 88 km/h ,,"12,388","6,174","6,504","1,737",634,"1,162",609,586,756,"2,280","12,388",2,4,3,6,13,9,,,,, F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"27,808","13,064","13,761","3,675","1,341","2,458","1,288","1,241","1,601","4,823","27,808",3,6,5,10,18,15,,,,
, AMBILOBE ,"327,583",16,68,"155,575","25,409","8,088","1,049",210,16,92,"195,875","47,379","15,081","1,957",391,17,148,"281,495","99,601","29,880","3,877",775, F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,"7,902","3,939","4,149","1,108",404,741,388,345,444,"1,339","7,902",6,11,5,4,9,4,,,,, M , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"14,735","7,344","7,736","2,066",754,"1,382",724,642,829,"2,497","14,735",7,14,10,6,11,8,,,,, F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"30,976","14,552","15,329","4,094","1,494","2,738","1,434","1,273","1,642","4,948","30,976",11,20,17,9,16,13,,,,
, ANTSIRANANA-I ,"148,603",1,10,"71,147","12,651","4,027",468,94,1,11,"79,045","27,182","8,652","1,007",201,1,23,"140,147","59,355","17,806","2,072",414, F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,"3,934","1,961","2,066",552,201,369,193,210,271,817,"3,934",2,5,2,0,1,0,,,,, M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"8,453","4,213","4,438","1,185",433,793,415,452,583,"1,756","8,453",3,6,4,1,1,1,,,,, F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,"18,459","8,672","9,135","2,439",890,"1,632",855,930,"1,200","3,615","18,459",5,9,7,1,2,1,,,,
, ANTSIRANANA-II ,"149,744",23,61,"75,695","12,666","4,032",469,94,23,118,"119,803","32,071","10,208","1,188",238,23,157,"149,074","74,813","22,444","2,611",522, F , CT , ENAWO , 2016-2017 , 63 à 88 km/h ,,"3,939","1,963","2,068",552,202,369,194,181,234,705,"3,939",2,5,2,5,9,4,,,,, M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"9,974","4,971","5,237","1,399",510,935,490,459,592,"1,784","9,974",3,6,4,6,12,8,,,,, F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"23,267","10,930","11,514","3,075","1,122","2,057","1,077","1,009","1,302","3,923","23,267",5,9,7,9,17,14,,,,
, NOSY-BE ,"124,410",5,16,"72,649","3,963","1,261",147,29,5,22,"80,730","6,100","1,942",226,45,5,44,"124,410","17,060","5,118",595,119, F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,"1,232",614,647,173,63,116,61,64,82,248,"1,232",2,4,2,2,4,2,,,,, M , CT , ENAWO , 2016-2017 , 63 à 88 km/h ,,"1,897",946,996,266,97,178,93,98,127,382,"1,897",2,5,3,2,5,3,,,,, F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"5,306","2,492","2,626",701,256,469,246,259,334,"1,006","5,306",4,7,6,4,6,5,,,,
 Total DIANA ,5,"1,022,666",67,224,"475,515","71,106","22,633","5,266","1,053",69,349,"645,717","152,563","48,561","11,299","2,260",70,537,"951,452","340,244","102,073","23,751","4,750", F , CT , ENAWO , 2016-2017 , 63 à 88 km/h , -   ,"22,114","11,022","11,611","3,101","1,132","2,074","1,086","1,042","1,344","4,049","22,114",14,28,13,16,33,15,"41,953","36,904","12,088","46,859", M , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"47,447","23,649","24,912","6,653","2,428","4,450","2,331","2,238","2,887","8,700","47,447",17,35,25,20,41,30,"90,012","79,180","25,936","100,539", F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"105,816","49,710","52,364","13,984","5,104","9,354","4,900","4,711","6,078","18,316","105,816",28,50,42,33,59,49,"200,744","176,586","57,841","224,221"
 FITOVINANY , IKONGO ,"231,057",9,62,"75,781","25,777","8,205","4,733",947,9,69,"85,821","42,814","13,628","7,860","1,572",9,100,"118,205","72,972","21,892","12,627","2,525", F , FTT , CHEDZA , 2014-2015 , 51 à 62 km/h ,,"9,280","4,012","4,193","1,288",656,786,287,404,356,880,"9,280",1,2,3,0,0,1, -   , -   , -   , -   , M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"15,413","6,664","6,964","2,140","1,090","1,306",477,672,592,"1,462","15,413",6,5,8,2,1,2,, -   , -   , -   , F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,"26,270","10,705","11,187","3,437","1,751","2,097",766,"1,079",951,"2,348","26,270",30,9,24,8,2,6,,,,
, MANAKARA ATSIMO ,"447,374",21,97,"145,561","60,067","21,624","4,306",861,23,109,"161,054","87,908","27,981","5,571","1,114",26,161,"215,245","153,914","46,174","9,194","1,839", F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"21,624","10,574","11,050","3,395","1,730","2,072",757,"1,134",999,"2,468","21,624",6,12,18,0,1,1, -   , -   , -   , -   , M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"31,647","13,683","14,298","4,393","2,238","2,681",979,"1,467","1,293","3,193","31,647",40,34,53,3,2,4,, -   , -   , -   , F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"55,409","22,579","23,595","7,249","3,694","4,424","1,616","2,421","2,133","5,270","55,409",207,62,166,14,4,11,,,,
, VOHIPENO ,"163,451",10,50,"54,590","19,780","7,121","2,664",533,10,54,"61,293","30,900","9,836","3,679",736,10,60,"66,271","42,740","12,822","4,796",959, F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"7,121","3,482","3,639","1,118",570,682,249,382,336,830,"7,121",2,3,5,0,0,1, -   , -   , -   , -   , M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"11,124","4,810","5,026","1,544",787,942,344,527,464,"1,147","11,124",10,9,13,1,1,2,, -   , -   , -   , F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"15,386","6,270","6,552","2,013","1,026","1,228",449,687,605,"1,495","15,386",52,15,42,7,2,6,,,,
 Total FITOVINANY ,3,"841,882",40,209,"275,932","105,625","36,950","14,714","2,943",42,232,"308,169","161,623","51,444","20,486","4,097",45,321,"399,721","269,625","80,888","32,211","6,442", F , FTT , CHEDZA , 2014-2015 , 51 à 62 km/h , -   ,"38,025","18,069","18,881","5,801","2,956","3,540","1,293","1,920","1,692","4,178","38,025",9,17,25,1,2,3,"96,964","87,986","21,548","99,288", M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"58,184","25,156","26,288","8,077","4,116","4,929","1,801","2,666","2,349","5,802","58,184",56,48,74,6,5,7,"148,369","134,632","32,971","151,925", F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"97,065","39,554","41,334","12,699","6,471","7,749","2,831","4,188","3,689","9,113","97,065",289,86,231,29,9,23,"312,344","283,423","69,410","319,829"
 HAUTE MATSIATRA , AMBALAVAO ,"332,153",1,13,"53,322","1,648",525, -   , -   ,1,13,"53,322","1,648",525, -   , -   ,1,13,"2,796",871,261, -   , -   , F , FTT , ELIAKIM , 2017-2018 , 51 à 62 km/h ,,595,260,265,70,21,46,25,44,42,23,595,6,11,11,1,2,2, -   , -   , -   , -   , M , FTT , CHEDZA , 2014-2015 , 63 à 88 km/h ,,595,260,265,70,21,46,25,44,42,23,595,14,16,34,3,3,7,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,314,129,132,35,10,23,13,22,21,11,314,29,24,53,6,5,10,,,,
, AMBOHIMAHASOA ,"300,917",2,9,"48,389","1,815",578,197,39,2,9,"48,389","1,815",578,197,39,2,9,"48,389","1,815",545,186,37, F , FTT , CHEDZA , 2014-2015 , 51 à 62 km/h ,,655,286,292,77,23,50,28,45,43,23,655,2,3,3,1,2,2, -   , -   , -   , -   , M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,,655,286,292,77,23,50,28,45,43,23,655,4,4,9,2,2,5,, -   , -   , -   , F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,655,270,275,73,22,48,26,42,40,22,655,7,6,13,4,4,8,,,,
, FIANARANTSOA I ,"213,465",1,2,"20,176",960,306,104,21,1,2,"20,176","1,542",491,167,33,7,22,"88,999","4,654","1,396",476,95, F , FTT , CHEDZA , 2014-2015 , 51 à 62 km/h ,,347,151,154,41,12,27,15,31,29,16,347,1,2,2,1,1,1, -   , -   , -   , -   , M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,557,243,248,66,20,43,24,50,47,26,557,3,3,7,1,1,3,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"1,680",691,705,187,56,122,67,141,134,73,"1,680",6,5,12,2,2,4,,,,
, IKALAMAVONY ,"139,501",1,1,996,50,16,2,0,1,4,"3,388",319,101,12,2,1,4,"3,388",488,146,17,3, F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,18,8,8,2,1,1,1,1,1,1,18,1,1,2,0,1,1, -   , -   , -   , -   , M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,115,50,51,14,4,9,5,8,8,4,115,2,2,5,1,1,3,, -   , -   , -   , F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,176,73,74,20,6,13,7,12,11,6,176,4,3,7,2,2,4,,,,
, ISANDRA ,"168,140",3,5,"25,940","2,727",868,99,20,3,5,"25,940","2,782",886,101,20,3,5,"25,940","2,837",851,97,19, F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,984,430,438,116,35,76,42,70,67,36,984,3,6,6,1,1,1, -   , -   , -   , -   , M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"1,004",438,447,119,35,77,43,72,68,37,"1,004",8,9,19,1,1,3,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"1,024",421,430,114,34,74,41,69,66,36,"1,024",16,13,29,3,2,5,,,,
, LALANGINA ,"204,990",2,7,"26,603","1,807",575,97,19,2,7,"26,603","1,807",575,97,19,2,7,"26,603","1,807",542,92,18, F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 89 à 117 km/h ,,652,285,290,77,23,50,28,44,42,23,652,3,5,6,1,1,1, -   , -   , -   , -   , M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,,652,285,290,77,23,50,28,44,42,23,652,7,8,17,2,2,4,, -   , -   , -   , F , CT , AVA , 2017-2018 , 89 à 117 km/h ,,652,268,274,73,22,47,26,41,39,21,652,14,12,26,3,3,6,,,,
, VOHIBATO ,"247,808",1,2,"8,396","1,647",524,88,18,1,2,"8,396","1,647",524,88,18,1,2,"8,396","1,647",494,83,17, F , FTT , CHEDZA , 2014-2015 , 51 à 62 km/h ,,595,259,265,70,21,46,25,42,40,22,595,2,4,4,1,1,2, -   , -   , -   , -   , M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,595,259,265,70,21,46,25,42,40,22,595,5,6,12,2,2,5,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,595,245,250,66,20,43,24,40,38,21,595,10,9,19,4,3,7,,,,
 Total HAUTE MATSIATRA ,7,"1,606,973",10,39,"183,821","10,654","3,391",771,154,10,42,"186,213","11,560","3,679",837,167,17,62,"204,510","14,119","4,236",963,193, F , CT , AVA , 2017-2018 , 51 à 62 km/h , -   ,"3,846","1,679","1,713",454,136,296,163,278,265,144,"3,846",19,32,34,5,9,10,"8,949","8,353","1,982","9,311", M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"4,173","1,821","1,858",493,147,322,177,305,290,158,"4,173",43,48,102,12,13,29,"9,710","9,063","2,150","10,103", F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"5,097","2,097","2,139",568,169,370,203,368,350,191,"5,097",87,72,159,25,20,45,"11,860","11,070","2,626","12,340"
 IHOROMBE , IAKORA ,"65,194", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , F , FTT , CHEDZA , 2014-2015 , 51 à 62 km/h ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,1,0,0,0, -   , -   , -   , -   , M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,2,2,1,0,0,, -   , -   , -   , F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,2,4,1,1,1, -   ,0,0,0
, IHOSY ,"344,782",1,1,"4,556",364,116,27,5,4,15,"23,887","2,372",755,178,36,4,15,"23,887","3,509","1,053",248,50, F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,131,58,58,19,5,11,4,10,5,11,131,2,2,1,1,1,0, -   , -   , -   , -   , M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 63 à 88 km/h ,,852,376,379,123,30,73,24,65,33,71,852,4,3,3,1,1,1,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,,"1,260",524,528,172,42,102,34,90,45,98,"1,260",6,4,6,2,1,2,,,,
, IVOHIBE ,"81,289",1,3,"15,324","1,258",400,95,19,1,3,"15,324","1,501",478,113,23,2,5,"15,324","1,177",353,83,17, F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 63 à 88 km/h ,,452,199,201,65,16,39,13,33,17,37,452,6,6,4,0,0,0, -   , -   , -   , -   , M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 63 à 88 km/h ,,539,238,240,78,19,46,15,40,20,44,539,11,9,10,0,0,0,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,423,176,177,58,14,34,11,30,15,32,423,17,11,17,1,0,1,,,,
 Total IHOROMBE ,3,"491,265",2,3,"19,880","1,622",516,244,49,5,17,"39,211","3,873","1,233",582,116,6,20,"39,211","4,686","1,406",664,133, F , FTT , CHEDZA , 2014-2015 , 51 à 62 km/h , -   ,582,257,259,84,21,50,17,43,22,47,582,10,9,6,1,1,1, -   , -   , -   , -   , M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,,"1,390",614,619,201,49,119,39,105,53,114,"1,390",17,15,16,2,2,2, -   , -   , -   , -   , F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"1,682",700,706,229,56,136,45,120,60,131,"1,682",27,17,27,4,2,4,"4,039","3,603",544,"4,198"
 MELAKY , AMBATOMAINTY ,"50,197", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5,9,"15,003",856,257,53,11, F , ZCIT , ZCIT 2 , 2014-2015 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0,2,1,1, -   , -   , -   , -   , M , FTT , BELNA (06 au 11 Décembre 2019) , 2019-2020 , 51 à 62 km/h ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,0,0,2,1,1,, -   , -   , -   , F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,312,127,129,42,18,25,9,16,21,18,312,1,0,0,4,1,1,,,,
, ANTSALOVA ,"67,702",1,6,"16,081","2,995",953,368,74,1,14,"28,345","5,282","1,681",649,130,6,39,"54,655","13,963","4,189","1,617",323, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 51 à 62 km/h ,,"1,093",473,480,156,67,94,34,59,80,68,"1,093",1,1,1,2,1,1, -   , -   , -   , -   , M , CT , AVA , 2017-2018 , 63 à 88 km/h ,,"1,928",834,847,276,118,167,61,105,141,120,"1,928",2,1,1,3,1,2,, -   , -   , -   , F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 118 à 165 km/h ,,"5,096","2,078","2,111",687,293,415,151,261,351,299,"5,096",4,1,1,6,2,2,,,,
, BESALAMPY ,"68,997",3,10,"21,535","2,977",947,490,98,5,17,"33,682","6,394","2,035","1,052",210,6,26,"41,052","12,533","3,760","1,943",389, F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,"1,086",470,478,155,66,94,34,65,87,74,"1,086",9,4,5,2,1,1, -   , -   , -   , -   , M , TTM , IDAI , 2018-2019 , 63 à 88 km/h ,,"2,334","1,010","1,026",334,142,202,73,139,187,159,"2,334",10,5,6,2,1,1,, -   , -   , -   , F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"4,574","1,865","1,895",617,263,372,135,257,345,294,"4,574",23,7,7,5,1,1,,,,
, MAINTIRANO ,"131,897",1,3,"12,677",677,215,67,13,4,11,"16,510","1,365",434,136,27,8,53,"56,969","9,681","2,904",907,181, F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,247,107,109,35,15,21,8,14,19,16,247,8,4,4,4,2,2, -   , -   , -   , -   , M , ZCIT , ZCIT (07 au 16 Févr 21)/glissement de terrain , 2020-2021 ,,,498,215,219,71,30,43,16,28,38,32,498,9,5,5,4,2,2,, -   , -   , -   , F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"3,534","1,441","1,464",476,203,288,105,189,254,216,"3,534",21,6,6,9,3,3,,,,
, MORAFENOBE ,"40,096",1,1,"7,149",326,104,22,4,1,1,"7,149",326,104,22,4,3,6,"13,612",664,199,42,8, F , TTM , BELNA (06 au 11 Décembre 2019) , 2019-2020 , 63 à 88 km/h ,,119,51,52,17,7,10,4,7,9,8,119,3,2,2,2,1,1, -   , -   , -   , -   , M , TTM , BELNA (06 au 11 Décembre 2019) , 2019-2020 , 63 à 88 km/h ,,119,51,52,17,7,10,4,7,9,8,119,4,2,2,3,1,2,, -   , -   , -   , F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 118 à 165 km/h ,,242,99,100,33,14,20,7,13,17,15,242,9,3,3,6,2,2,,,,
 Total MELAKY ,5,"358,888",6,19,"57,442","6,975","2,220",921,184,10,42,"85,685","13,368","4,255","1,764",353,28,132,"181,291","37,696","11,309","4,689",938, F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,, -   ,"2,546","1,101","1,119",364,155,220,80,145,195,166,"2,546",22,11,12,12,6,7, -   , -   , -   , -   , M , CT , AVA , 2017-2018 , 63 à 88 km/h ,,"4,879","2,110","2,144",698,298,421,153,279,374,319,"4,879",25,13,15,14,7,8,"11,991","10,975","5,922","12,726", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 118 à 165 km/h ,,"13,759","5,609","5,700","1,855",792,"1,120",407,736,988,841,"13,759",57,17,17,31,9,9,"33,814","30,949","16,699","35,887"
 MENABE , BELO SUR TSIRIBIHINA ,"144,649",10,60,"61,586","13,734","4,372",604,121,10,64,"67,596","23,857","7,594","1,050",210,10,80,"76,851","42,159","12,648","1,748",350, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 51 à 62 km/h ,,"4,903","2,168","2,203",616,262,329,153,505,264,271,"4,903",10,7,6,4,3,2, -   , -   , -   , -   , M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 63 à 88 km/h ,,"8,517","3,767","3,827","1,071",456,571,266,878,459,472,"8,517",12,9,9,4,3,4,, -   , -   , -   , F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"15,051","6,273","6,374","1,783",759,951,443,"1,462",764,785,"15,051",14,13,13,5,5,5,,,,
, MAHABO ,"168,570",9,37,"65,291","8,323","2,649","1,099",220,9,37,"65,291","11,450","3,644","1,511",302,9,37,"65,291","16,452","4,936","2,047",409, F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"2,971","1,314","1,335",374,159,199,93,306,160,165,"2,971",15,11,10,3,2,2, -   , -   , -   , -   , M , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"4,088","1,808","1,837",514,219,274,128,421,220,226,"4,088",17,14,14,4,3,3,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"5,873","2,448","2,488",696,296,371,173,571,298,306,"5,873",21,19,20,4,4,4,,,,
, MANJA ,"118,788",2,11,"25,656","2,653",844,117,23,2,11,"25,656","4,662","1,484",205,41,3,21,"46,044","11,603","3,481",481,96, F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,947,419,426,119,51,64,30,95,50,51,947,1,1,1,3,2,2, -   , -   , -   , -   , M , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"1,664",736,748,209,89,112,52,168,88,90,"1,664",1,1,1,4,3,3,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"4,142","1,727","1,754",491,209,262,122,393,205,211,"4,142",1,1,1,5,4,4,,,,
